# iteration,cost
0.000000000000000000e+00,1.136991564870267757e-01
1.000000000000000000e+00,1.136257037840035233e-01
2.000000000000000000e+00,1.136136935905453504e-01
3.000000000000000000e+00,1.136088930142307857e-01
4.000000000000000000e+00,1.136052928937559964e-01
5.000000000000000000e+00,1.134794836802722334e-01
6.000000000000000000e+00,1.134794836802722334e-01
7.000000000000000000e+00,1.134755218648098168e-01
8.000000000000000000e+00,1.134707217041767136e-01
9.000000000000000000e+00,1.118823338519999572e-01
1.000000000000000000e+01,1.118644663079823159e-01
1.100000000000000000e+01,1.118573833203470730e-01
1.200000000000000000e+01,1.118573833203470730e-01
1.300000000000000000e+01,1.118573833203470730e-01
1.400000000000000000e+01,1.108861152457260857e-01
1.500000000000000000e+01,1.108859624491700530e-01
1.600000000000000000e+01,1.108835623688535083e-01
1.700000000000000000e+01,1.108835623688535083e-01
1.800000000000000000e+01,1.108763622187698417e-01
1.900000000000000000e+01,1.108739345810334648e-01
2.000000000000000000e+01,1.108727345408751785e-01
2.100000000000000000e+01,1.108703278509191592e-01
2.200000000000000000e+01,1.108703278509191592e-01
2.300000000000000000e+01,1.108679277706025451e-01
2.400000000000000000e+01,1.108655276902860004e-01
2.500000000000000000e+01,1.108655276902860004e-01
2.600000000000000000e+01,1.108654592660216903e-01
2.700000000000000000e+01,1.098501760583890929e-01
2.800000000000000000e+01,1.098500471707759413e-01
2.900000000000000000e+01,1.098500471662646749e-01
3.000000000000000000e+01,1.098500471662646749e-01
3.100000000000000000e+01,1.098488588937582555e-01
3.200000000000000000e+01,1.098488588937582555e-01
3.300000000000000000e+01,1.098488588937582555e-01
3.400000000000000000e+01,1.098488588937582555e-01
3.500000000000000000e+01,1.098476588535999832e-01
3.600000000000000000e+01,1.098476588535999832e-01
3.700000000000000000e+01,1.098452587732834385e-01
3.800000000000000000e+01,1.098371596889391039e-01
3.900000000000000000e+01,1.098348233657299167e-01
4.000000000000000000e+01,1.098348233657299167e-01
4.100000000000000000e+01,1.098348233657299167e-01
4.200000000000000000e+01,1.098348233657299167e-01
4.300000000000000000e+01,1.098240688355945766e-01
4.400000000000000000e+01,1.098240688355945766e-01
4.500000000000000000e+01,1.098239643895541073e-01
4.600000000000000000e+01,1.098239643895541073e-01
4.700000000000000000e+01,1.098239643895541073e-01
4.800000000000000000e+01,1.098216456837072391e-01
4.900000000000000000e+01,1.098158329871928574e-01
5.000000000000000000e+01,1.098158262865340240e-01
5.100000000000000000e+01,1.098158262865340240e-01
5.200000000000000000e+01,1.098111085289814187e-01
5.300000000000000000e+01,1.098111030267755195e-01
5.400000000000000000e+01,1.098039027858258992e-01
5.500000000000000000e+01,1.098039027855195193e-01
5.600000000000000000e+01,1.098015027052029885e-01
5.700000000000000000e+01,1.098015011020871262e-01
5.800000000000000000e+01,1.097991010217705815e-01
5.900000000000000000e+01,1.097991010217705815e-01
6.000000000000000000e+01,1.097957289319744650e-01
6.100000000000000000e+01,1.090145176431983470e-01
6.200000000000000000e+01,1.090121175628817884e-01
6.300000000000000000e+01,1.090121151038841163e-01
6.400000000000000000e+01,1.090109150637258439e-01
6.500000000000000000e+01,1.090085149834092992e-01
6.600000000000000000e+01,1.090085149834092992e-01
6.700000000000000000e+01,1.090085149834092992e-01
6.800000000000000000e+01,1.090061149030927407e-01
6.900000000000000000e+01,1.090061149030927407e-01
7.000000000000000000e+01,1.090000341830967556e-01
7.100000000000000000e+01,1.089974119245070427e-01
7.200000000000000000e+01,1.089926117638739533e-01
7.300000000000000000e+01,1.089926117638739533e-01
7.400000000000000000e+01,1.089926117638739533e-01
7.500000000000000000e+01,1.089926117637050468e-01
7.600000000000000000e+01,1.089926117637050468e-01
7.700000000000000000e+01,1.089926117637050468e-01
7.800000000000000000e+01,1.089914137004689282e-01
7.900000000000000000e+01,1.089009243770042296e-01
8.000000000000000000e+01,1.088993378579403010e-01
8.100000000000000000e+01,1.088969377776237701e-01
8.200000000000000000e+01,1.088969337667759496e-01
8.300000000000000000e+01,1.088925610542871292e-01
8.400000000000000000e+01,1.088925610542871292e-01
8.500000000000000000e+01,1.088925610542871292e-01
8.600000000000000000e+01,1.088925610542871292e-01
8.700000000000000000e+01,1.088925610542871292e-01
8.800000000000000000e+01,1.088925610542871292e-01
8.900000000000000000e+01,1.088925610542871292e-01
9.000000000000000000e+01,1.088877401309659848e-01
9.100000000000000000e+01,1.088877401309659848e-01
9.200000000000000000e+01,1.088870103577962017e-01
9.300000000000000000e+01,1.088870103577962017e-01
9.400000000000000000e+01,1.088870103577962017e-01
9.500000000000000000e+01,1.088870103577962017e-01
9.600000000000000000e+01,1.088870103577962017e-01
9.700000000000000000e+01,1.088870103577962017e-01
9.800000000000000000e+01,1.088869382452850726e-01
9.900000000000000000e+01,1.088845381649685140e-01
1.000000000000000000e+02,1.088809380444937108e-01
1.010000000000000000e+02,1.088797380043354385e-01
1.020000000000000000e+02,1.088797380043354385e-01
1.030000000000000000e+02,1.088797380043354385e-01
1.040000000000000000e+02,1.088797380043354385e-01
1.050000000000000000e+02,1.088773379240189076e-01
1.060000000000000000e+02,1.088773379240189076e-01
1.070000000000000000e+02,1.088773379240189076e-01
1.080000000000000000e+02,1.088761378838606353e-01
1.090000000000000000e+02,1.088749365130729785e-01
1.100000000000000000e+02,1.088746343523608745e-01
1.110000000000000000e+02,1.088746343523608745e-01
1.120000000000000000e+02,1.088746343523608745e-01
1.130000000000000000e+02,1.088746343523608745e-01
1.140000000000000000e+02,1.088746343523608745e-01
1.150000000000000000e+02,1.088722342720443298e-01
1.160000000000000000e+02,1.088716053054518684e-01
1.170000000000000000e+02,1.088691084821150207e-01
1.180000000000000000e+02,1.088689994397098459e-01
1.190000000000000000e+02,1.088689994397098459e-01
1.200000000000000000e+02,1.088689994397098459e-01
1.210000000000000000e+02,1.088677993995515875e-01
1.220000000000000000e+02,1.088677993995515875e-01
1.230000000000000000e+02,1.088513909859569473e-01
1.240000000000000000e+02,1.088489909056404026e-01
1.250000000000000000e+02,1.088489909056404026e-01
1.260000000000000000e+02,1.088488466823540196e-01
1.270000000000000000e+02,1.088488466823540196e-01
1.280000000000000000e+02,1.088488466823540196e-01
1.290000000000000000e+02,1.088488466823540196e-01
1.300000000000000000e+02,1.088464466020374610e-01
1.310000000000000000e+02,1.088428464815626440e-01
